"","time","d2_bw1","k_bw1","UD2_1","UD2_2","U_K","do","mf_xe","p_atm","x_loc_fit","x_vel_fit","y_loc_fit","y_vel_fit","tot_vel_fit","x_acc_fit","y_acc_fit","tot_acc_fit","vRatio"
"1",0,11.1726851034537,-0.022500834072649,0.16142014065621,0.232340056403261,0.945816116795527,3.341,0.6,1,-0.00864219946158651,-0.0492703922853267,-0.00964047684403593,-0.431054406611149,0.433861121806091,-0.057858656382603,0.0596464975892956,0.083098308003653,1
"2",0.033,11.1736302196642,-0.0213009072596704,0.160838677508117,0.231936457208779,0.901570114803703,3.341,0.6,1,-0.0101557706992289,-0.0521982966579942,-0.0238550724315439,-0.428928264170408,0.43209271919142,-0.0558652780489084,0.0593375719718992,0.0814977100230563,0.995924035305792
"3",0.067,11.1745440048203,-0.0201064268601005,0.160487831533445,0.23169329742206,0.855368324656321,3.341,0.6,1,-0.0118415210730531,-0.0550967202327176,-0.0384203044508604,-0.426779171086581,0.430320937735722,-0.0538218629692009,0.0590682619322083,0.0799115292130453,0.991840282771521
"4",0.1,11.1753746810307,-0.0189872422755637,0.161134411779983,0.23214163491214,0.810084846184243,3.341,0.6,1,-0.013595034609917,-0.0577968846675241,-0.0524822226536487,-0.424727892020268,0.428642347578085,-0.0518480186961448,0.0588502373868506,0.0784319289779644,0.987971325464054
"5",0.133,11.1761518845128,-0.0179072172273394,0.161099077318521,0.232117109909802,0.76452147860221,3.341,0.6,1,-0.0154590929664579,-0.0603873092957693,-0.0664727164824283,-0.422705536745206,0.42699718724956,-0.049883053145916,0.0586707422892233,0.0770102265411986,0.984179420068897
"6",0.167,11.1768986962756,-0.0168350017255873,0.161012555643949,0.23205706857365,0.717445015165129,3.341,0.6,1,-0.0174901023317181,-0.0629429971748654,-0.0808145546584905,-0.420647174958321,0.425330303051371,-0.0478675443930567,0.058521644905931,0.0756047930274076,0.980337443651999
"7",0.2,11.1775730893801,-0.0158332637743457,0.161051927082988,0.23208438813747,0.671778636574567,3.341,0.6,1,-0.0195636941588483,-0.0653150075335329,-0.0946657756748143,-0.418669470798831,0.423733614418397,-0.0459199946467578,0.0584073058298931,0.0742971014418795,0.976657259941766
"8",0.233,11.1781996348443,-0.0148694932974544,0.161120615282547,0.232132058684333,0.626286577689641,3.341,0.6,1,-0.021733345062621,-0.0675814074322496,-0.108450551505744,-0.416707639459136,0.4221522277735,-0.0439811920977762,0.0583184603495256,0.0730437408398604,0.973012345554612
"9",0.267,11.1787970380393,-0.013915822046309,0.161289344294894,0.232249203622051,0.579750920366996,3.341,0.6,1,-0.0240643470006809,-0.0698072842326534,-0.122584624243102,-0.414699259892533,0.420533628961291,-0.0419932969601982,0.0582488638182058,0.0718078486357813,0.969281661400497
"10",0.3,11.1793319971824,-0.0130279587299942,0.161327215685556,0.232275505641155,0.535053092997309,3.341,0.6,1,-0.0264149273230065,-0.0718628664380105,-0.136237340833593,-0.41275928710584,0.418968376688276,-0.0400740636213956,0.058197926576688,0.0706606625567382,0.965673934885387
