t,d_2,x_loc,y_loc,do,mf_xe,p_atm
0.0000,5.8214,0.000,0.000,2.413,0.4,1
0.0330,5.8158,0.000,0.000,,,
0.0670,5.8414,0.000,0.000,,,
0.1000,5.8436,0.000,-0.030,,,
0.1330,5.8114,0.000,-0.030,,,
0.1670,5.7936,0.000,-0.030,,,
0.2000,5.8002,0.000,-0.030,,,
0.2330,5.8247,-0.030,-0.030,,,
0.2670,5.8214,-0.030,-0.030,,,
0.3000,5.8247,-0.030,-0.059,,,
0.3330,5.8358,-0.030,-0.059,,,
0.3670,5.8447,-0.030,-0.059,,,
0.4000,5.8570,-0.030,-0.059,,,
0.4330,5.8892,-0.030,-0.089,,,
0.4670,5.9003,-0.030,-0.089,,,
0.5000,5.9137,0.000,-0.089,,,
0.5330,5.9115,0.000,-0.118,,,
0.5670,5.9204,0.000,-0.118,,,
0.6000,5.9270,0.030,-0.148,,,
0.6330,5.9326,0.030,-0.148,,,
0.6670,5.9526,0.059,-0.177,,,
0.7000,5.9482,0.089,-0.207,,,
0.7330,5.9482,0.118,-0.207,,,
0.7670,5.9571,0.148,-0.236,,,
0.8000,5.9604,0.148,-0.266,,,
0.8330,6.0438,0.177,-0.296,,,
0.8670,6.0638,0.266,-0.325,,,
0.9000,6.0716,0.325,-0.355,,,
0.9330,6.0772,0.414,-0.384,,,
0.9670,6.0772,0.473,-0.443,,,
1.0000,6.0672,0.562,-0.473,,,
1.0330,6.0928,0.650,-0.502,,,
1.0670,6.0872,0.709,-0.532,,,
1.1000,6.0916,0.798,-0.562,,,
1.1330,6.0894,0.857,-0.591,,,
1.1670,6.0972,0.916,-0.650,,,
1.2000,6.0928,1.005,-0.680,,,
1.2330,6.0716,1.064,-0.709,,,
1.2670,6.0694,1.123,-0.739,,,
1.3000,6.0805,1.212,-0.768,,,
1.3330,6.0716,1.271,-0.798,,,
1.3670,6.0527,1.330,-0.828,,,
1.4000,6.0627,1.389,-0.857,,,
1.4330,6.0549,1.448,-0.887,,,
1.4670,6.0494,1.537,-0.916,,,
1.5000,6.0371,1.596,-0.946,,,
1.5330,6.0394,1.655,-0.975,,,
1.5670,6.0338,1.714,-1.005,,,
1.6000,6.0205,1.773,-1.034,,,
1.6330,6.0116,1.832,-1.064,,,
1.6670,6.0049,1.921,-1.094,,,
1.7000,6.0038,1.980,-1.123,,,
1.7330,5.9938,2.039,-1.182,,,
1.7670,5.9927,2.098,-1.212,,,
1.8000,5.9749,2.158,-1.241,,,
1.8330,5.9660,2.217,-1.271,,,
1.8670,5.9571,2.276,-1.300,,,
1.9000,5.9526,2.335,-1.330,,,
1.9330,5.9493,2.394,-1.360,,,
1.9670,5.9370,2.453,-1.389,,,
2.0000,5.9204,2.512,-1.419,,,
2.0330,5.9170,2.571,-1.448,,,
2.0670,5.9137,2.630,-1.478,,,
2.1000,5.9037,2.690,-1.478,,,
2.1330,5.8948,2.749,-1.507,,,
2.1670,5.8870,2.778,-1.537,,,
2.2000,5.8814,2.837,-1.566,,,
2.2330,5.8603,2.896,-1.596,,,
2.2670,5.8492,2.956,-1.626,,,
2.3000,5.8470,3.015,-1.655,,,
2.3330,5.8381,3.044,-1.685,,,
2.3670,5.8169,3.103,-1.714,,,
2.4000,5.8102,3.162,-1.744,,,
2.4330,5.7958,3.222,-1.744,,,
2.4670,5.7847,3.251,-1.773,,,
2.5000,5.7658,3.310,-1.803,,,
2.5330,5.7491,3.340,-1.832,,,
2.5670,5.7424,3.399,-1.832,,,
2.6000,5.7246,3.428,-1.862,,,
2.6330,5.7001,3.488,-1.892,,,
2.6670,5.6579,3.517,-1.892,,,
2.7000,5.6434,3.576,-1.921,,,
2.7330,5.6312,3.606,-1.951,,,
2.7670,5.6078,3.665,-1.951,,,
2.8000,5.5978,3.724,-1.980,,,
2.8330,5.5811,3.754,-2.010,,,
2.8670,5.5644,3.813,-2.039,,,
2.9000,5.5478,3.872,-2.069,,,
2.9330,5.5311,3.931,-2.098,,,
2.9670,5.5266,3.960,-2.128,,,
3.0000,5.5133,4.020,-2.158,,,
3.0330,5.5011,4.079,-2.158,,,
3.0670,5.4877,4.138,-2.187,,,
3.1000,5.4699,4.167,-2.217,,,
3.1330,5.4699,4.226,-2.246,,,
3.1670,5.4521,4.286,-2.276,,,
3.2000,5.4421,4.345,-2.305,,,
3.2330,5.4299,4.404,-2.335,,,
3.2670,5.4210,4.433,-2.364,,,
3.3000,5.4098,4.492,-2.394,,,
3.3330,5.4065,4.552,-2.424,,,
3.3670,5.3854,4.611,-2.453,,,
3.4000,5.3676,4.640,-2.483,,,
3.4330,5.3609,4.699,-2.512,,,
3.4670,5.3520,4.758,-2.542,,,
3.5000,5.3398,4.788,-2.571,,,
3.5330,5.3287,4.847,-2.601,,,
3.5670,5.3142,4.906,-2.630,,,
3.6000,5.2942,4.965,-2.660,,,
3.6330,5.2808,4.995,-2.690,,,
3.6670,5.2641,5.054,-2.719,,,
3.7000,5.2653,5.113,-2.749,,,
3.7330,5.2475,5.143,-2.778,,,
3.7670,5.2464,5.202,-2.808,,,
3.8000,5.2286,5.231,-2.837,,,
3.8330,5.2185,5.290,-2.837,,,
3.8670,5.1996,5.350,-2.867,,,
3.9000,5.1818,5.379,-2.896,,,
3.9330,5.1807,5.438,-2.926,,,
3.9670,5.1585,5.497,-2.956,,,
4.0000,5.1585,5.527,-2.985,,,
4.0330,5.1451,5.586,-3.015,,,
4.0670,5.1273,5.616,-3.044,,,
4.1000,5.1196,5.675,-3.074,,,
4.1330,5.0906,5.704,-3.103,,,
4.1670,5.0840,5.763,-3.133,,,
4.2000,5.0684,5.822,-3.133,,,
4.2330,5.0606,5.852,-3.162,,,
4.2670,5.0295,5.911,-3.192,,,
4.3000,5.0039,5.941,-3.222,,,
4.3330,4.9850,5.970,-3.251,,,
4.3670,4.9605,6.029,-3.281,,,
4.4000,4.9516,6.059,-3.310,,,
4.4330,4.9338,6.118,-3.340,,,
4.4670,4.9205,6.148,-3.340,,,
4.5000,4.8949,6.207,-3.369,,,
4.5330,4.8893,6.236,-3.399,,,
4.5670,4.8771,6.266,-3.428,,,
4.6000,4.8537,6.325,-3.458,,,
4.6330,4.8382,6.354,-3.488,,,
4.6670,4.8193,6.414,-3.488,,,
4.7000,4.8081,6.443,-3.517,,,
4.7330,4.7981,6.502,-3.547,,,
4.7670,4.7837,6.532,-3.576,,,
4.8000,4.7547,6.561,-3.606,,,
4.8330,4.7459,6.620,-3.606,,,
4.8670,4.7381,6.650,-3.635,,,
4.9000,4.7203,6.680,-3.665,,,
4.9330,4.7158,6.739,-3.694,,,
4.9670,4.7069,6.768,-3.694,,,
5.0000,4.6780,6.827,-3.724,,,
5.0330,4.6647,6.857,-3.754,,,
5.0670,4.6469,6.916,-3.783,,,
5.1000,4.6313,6.946,-3.813,,,
5.1330,4.6313,7.005,-3.842,,,
5.1670,4.6146,7.034,-3.872,,,
5.2000,4.6035,7.093,-3.872,,,
5.2330,4.5879,7.123,-3.901,,,
5.2670,4.5657,7.182,-3.931,,,
5.3000,4.5634,7.241,-3.960,,,
5.3330,4.5434,7.271,-3.990,,,
5.3670,4.5323,7.330,-4.049,,,
5.4000,4.5267,7.359,-4.079,,,
5.4330,4.5112,7.418,-4.108,,,
5.4670,4.4912,7.448,-4.138,,,
5.5000,4.4834,7.507,-4.197,,,
5.5330,4.4734,7.537,-4.226,,,
5.5670,4.4578,7.566,-4.286,,,
5.6000,4.4645,7.625,-4.315,,,
5.6330,4.4522,7.655,-4.374,,,
5.6670,4.4422,7.684,-4.404,,,
5.7000,4.4433,7.744,-4.463,,,
5.7330,4.4389,7.773,-4.492,,,
5.7670,4.4278,7.803,-4.552,,,
5.8000,4.4300,7.832,-4.611,,,
5.8330,4.4177,7.862,-4.640,,,
5.8670,4.4222,7.891,-4.699,,,
5.9000,4.4088,7.921,-4.729,,,
5.9330,4.4111,7.950,-4.788,,,
5.9670,4.4122,7.980,-4.818,,,
6.0000,4.3977,8.010,-4.877,,,
6.0330,4.3922,8.039,-4.906,,,
6.0670,4.3888,8.069,-4.965,,,
6.1000,4.3788,8.098,-4.995,,,
6.1330,4.3721,8.128,-5.024,,,
6.1670,4.3555,8.187,-5.054,,,
6.2000,4.3488,8.216,-5.084,,,
6.2330,4.3354,8.246,-5.143,,,
6.2670,4.3332,8.276,-5.172,,,
6.3000,4.3232,8.305,-5.172,,,
6.3330,4.3121,8.335,-5.202,,,
6.3670,4.3032,8.335,-5.231,,,
6.4000,4.2932,8.364,-5.261,,,
6.4330,4.2832,8.394,-5.290,,,
6.4670,4.2743,8.423,-5.320,,,
6.5000,4.2620,8.453,-5.320,,,
6.5330,4.2542,8.482,-5.350,,,
6.5670,4.2431,8.512,-5.379,,,
6.6000,4.2398,8.542,-5.409,,,
6.6330,4.2387,8.571,-5.409,,,
6.6670,4.2220,8.571,-5.438,,,
6.7000,4.2042,8.601,-5.468,,,
6.7330,4.1986,8.630,-5.468,,,
6.7670,4.1975,8.660,-5.497,,,
6.8000,4.1886,8.689,-5.497,,,
6.8330,4.1797,8.719,-5.527,,,
6.8670,4.1697,8.719,-5.556,,,
6.9000,4.1630,8.748,-5.556,,,
6.9330,4.1486,8.778,-5.586,,,
6.9670,4.1441,8.778,-5.586,,,
7.0000,4.1364,8.808,-5.616,,,
7.0330,4.1352,8.837,-5.616,,,
7.0670,4.1108,8.837,-5.616,,,
7.1000,4.1163,8.867,-5.645,,,
7.1330,4.0941,8.896,-5.645,,,
7.1670,4.0852,8.896,-5.675,,,
7.2000,4.0852,8.926,-5.675,,,
7.2330,4.0707,8.926,-5.675,,,
7.2670,4.0574,8.955,-5.704,,,
7.3000,4.0585,8.985,-5.704,,,
7.3330,4.0452,8.985,-5.704,,,
7.3670,4.0396,9.014,-5.734,,,
7.4000,4.0296,9.014,-5.734,,,
7.4330,4.0051,9.044,-5.734,,,
7.4670,4.0140,9.074,-5.734,,,
7.5000,4.0062,9.074,-5.763,,,
7.5330,3.9862,9.103,-5.763,,,
7.5670,3.9762,9.103,-5.763,,,
7.6000,3.9662,9.133,-5.763,,,
7.6330,3.9562,9.133,-5.763,,,
7.6670,3.9640,9.162,-5.763,,,
7.7000,3.9406,9.162,-5.793,,,
7.7330,3.9328,9.192,-5.793,,,
7.7670,3.9261,9.192,-5.793,,,
7.8000,3.9228,9.221,-5.793,,,
7.8330,3.9128,9.221,-5.793,,,
7.8670,3.8939,9.251,-5.793,,,
7.9000,3.8950,9.251,-5.793,,,
7.9330,3.8817,9.280,-5.793,,,
7.9670,3.8750,9.280,-5.793,,,
8.0000,3.8672,9.310,-5.793,,,
8.0330,3.8527,9.310,-5.793,,,
8.0670,3.8427,9.310,-5.793,,,
8.1000,3.8305,9.340,-5.793,,,
8.1330,3.8249,9.340,-5.793,,,
8.1670,3.8205,9.369,-5.793,,,
8.2000,3.8127,9.369,-5.793,,,
