t,d_2,x_loc,y_loc,do,mf_xe,p_atm
0.0000,13.8216,0.000,0.000,3.719,0.55,1
0.0330,13.8171,0.000,0.000,,,
0.0670,13.8271,0.000,0.000,,,
0.1000,13.8349,0.000,0.000,,,
0.1330,13.8416,0.000,0.000,,,
0.1670,13.8527,0.000,0.000,,,
0.2000,13.8616,0.000,0.000,,,
0.2330,13.8650,0.000,0.000,,,
0.2670,13.8750,0.000,0.000,,,
0.3000,13.8839,0.000,0.000,,,
0.3330,13.8905,0.000,0.000,,,
0.3670,13.8950,0.000,0.000,,,
0.4000,13.9106,0.000,0.000,,,
0.4330,13.9217,0.000,0.000,,,
0.4670,13.9373,0.000,0.000,,,
0.5000,13.9617,0.000,0.000,,,
0.5330,13.9740,0.000,0.000,,,
0.5670,13.9929,0.000,0.000,,,
0.6000,14.0062,0.000,0.000,,,
0.6330,14.0173,0.000,0.000,,,
0.6670,14.0440,0.000,0.000,,,
0.7000,14.0552,0.000,0.000,,,
0.7330,14.0663,0.000,0.000,,,
0.7670,14.0752,0.000,0.000,,,
0.8000,14.0952,0.000,0.000,,,
0.8330,14.1085,0.000,0.000,,,
0.8670,14.1197,0.000,0.000,,,
0.9000,14.1208,0.000,0.000,,,
0.9330,14.1252,0.000,0.000,,,
0.9670,14.1330,0.000,0.000,,,
1.0000,14.1397,0.000,0.000,,,
1.0330,14.1519,0.000,0.000,,,
1.0670,14.1575,0.030,0.000,,,
1.1000,14.1630,0.030,0.000,,,
1.1330,14.1608,0.030,0.000,,,
1.1670,14.1675,0.030,0.000,,,
1.2000,14.1708,0.030,0.000,,,
1.2330,14.1730,0.059,0.000,,,
1.2670,14.1742,0.059,0.000,,,
1.3000,14.1797,0.059,0.000,,,
1.3330,14.1775,0.059,0.000,,,
1.3670,14.1942,0.089,0.000,,,
1.4000,14.1886,0.089,0.000,,,
1.4330,14.1819,0.089,0.000,,,
1.4670,14.2009,0.118,0.000,,,
1.5000,14.1920,0.118,0.000,,,
1.5330,14.2064,0.118,0.000,,,
1.5670,14.2064,0.148,0.000,,,
1.6000,14.2086,0.148,0.000,,,
1.6330,14.2175,0.148,0.000,,,
1.6670,14.2142,0.177,0.000,,,
1.7000,14.2175,0.177,0.000,,,
1.7330,14.2242,0.177,0.000,,,
1.7670,14.2253,0.207,0.000,,,
1.8000,14.2231,0.207,0.000,,,
1.8330,14.2364,0.207,0.000,,,
1.8670,14.2342,0.236,0.000,,,
1.9000,14.2431,0.236,0.000,,,
1.9330,14.2554,0.266,0.000,,,
1.9670,14.2520,0.266,0.000,,,
2.0000,14.2765,0.266,0.000,,,
2.0330,14.2453,0.296,0.000,,,
2.0670,14.2498,0.325,0.000,,,
2.1000,14.2565,0.355,0.000,,,
2.1330,14.2465,0.355,0.000,,,
2.1670,14.2565,0.384,0.000,,,
2.2000,14.2531,0.414,0.000,,,
2.2330,14.2654,0.443,0.000,,,
2.2670,14.2698,0.443,0.000,,,
2.3000,14.2642,0.473,0.000,,,
2.3330,14.2820,0.502,0.000,,,
2.3670,14.2520,0.502,0.000,,,
2.4000,14.2531,0.532,-0.030,,,
2.4330,14.2676,0.562,-0.030,,,
2.4670,14.2487,0.562,-0.030,,,
2.5000,14.2476,0.591,-0.030,,,
2.5330,14.2387,0.591,-0.030,,,
2.5670,14.2342,0.621,-0.030,,,
2.6000,14.2342,0.650,-0.030,,,
2.6330,14.2209,0.650,-0.030,,,
2.6670,14.2220,0.680,-0.030,,,
2.7000,14.2109,0.709,-0.030,,,
2.7330,14.2220,0.709,-0.030,,,
2.7670,14.2142,0.739,-0.030,,,
2.8000,14.2287,0.768,-0.030,,,
2.8330,14.2142,0.768,-0.030,,,
2.8670,14.2120,0.798,-0.059,,,
2.9000,14.2098,0.798,-0.059,,,
2.9330,14.1964,0.828,-0.059,,,
2.9670,14.1931,0.857,-0.059,,,
