"","time","d2_bw1","k_bw1","UD2_1","UD2_2","U_K","do","mf_xe","p_atm","x_loc_fit","x_vel_fit","y_loc_fit","y_vel_fit","tot_vel_fit","x_acc_fit","y_acc_fit","tot_acc_fit","vRatio"
"1",0,3.91665736790026,-0.174399857624459,0.102375721727984,0.195975070861897,0.758666862456119,1.982,0.58,1,0.0148665213618039,0.00206045516486843,0.00617581590708966,-0.0532821458116512,0.0533219704979148,0.21407318418174,-0.151706594384334,0.262378007777714,1
"2",0.033,3.92218144633278,-0.171348011623724,0.102359801772556,0.195966754881835,0.723201696522571,1.982,0.58,1,0.0154377629190213,0.00638383532373403,0.00448061066288807,-0.0593213192315189,0.0596638271384625,0.219439482179844,-0.14968453030753,0.265629713986865,1.11893515152062
"3",0.066,3.92761266049123,-0.16828608525741,0.102772996950956,0.196182896559005,0.68726733096825,1.982,0.58,1,0.0160770160434848,0.0110897128956318,0.00255863038734307,-0.0652217039092504,0.0661577840690985,0.224619319708691,-0.147721814255611,0.268841167222143,1.24072279121203
"4",0.1,3.93311174595744,-0.165118929240807,0.103491261932313,0.196560121327656,0.64988248038767,1.982,0.58,1,0.0168282187245248,0.0163183759938624,0.000348689898460752,-0.0711607808172448,0.0730078497258823,0.229768035659572,-0.145762441245173,0.272102994266162,1.36918889238606
"5",0.133,3.93835551024522,-0.162031031134723,0.103675332601033,0.196657099007218,0.613371752052339,1.982,0.58,1,0.0176667539099879,0.0217433927681298,-0.00201224775479868,-0.0767940010016663,0.0798128668756678,0.23459029699338,-0.143922667851097,0.275220532963693,1.49681015405815
"6",0.166,3.94350724708611,-0.158927690093924,0.10430008594304,0.196987177064208,0.576762019570091,1.982,0.58,1,0.0186311532689055,0.0274952167149256,-0.00457935740480705,-0.0823026622005445,0.0867739312668134,0.239248422134376,-0.142145214531679,0.278289542577592,1.62735792500779
"7",0.2,3.9487188850192,-0.155712356590957,0.104752907921409,0.19722730976716,0.539066767180778,1.982,0.58,1,0.0197740647857152,0.0337447794207513,-0.00743325565034933,-0.087852791911779,0.0941106964422721,0.243885655073868,-0.14038073863983,0.281401784876844,1.76495158681265
"8",0.233,3.95368377584982,-0.152572460459178,0.105164441298416,0.197446194477402,0.502625122622952,1.982,0.58,1,0.0210441942633763,0.0401072368102716,-0.0103998594367775,-0.093122554001078,0.101392309906811,0.24823956918798,-0.138734976576282,0.284376998781996,1.9015109336737
"9",0.266,3.95855639985491,-0.14941207898267,0.105786874395871,0.197778418424376,0.466443686889104,1.982,0.58,1,0.0224873033625475,0.0467456706155447,-0.0135542808770564,-0.0982814981074121,0.108832029253957,0.252460014899865,-0.137157299323226,0.287311997453781,2.04103539756119
"10",0.3,3.96347984528617,-0.146132835816079,0.106196745439362,0.197997951357868,0.429557599905708,1.982,0.58,1,0.024169092153921,0.0538576433017334,-0.0169947935910127,-0.103485653506525,0.116661588467196,0.256681753673756,-0.135605784280475,0.29030062245775,2.18787091658133
"11",0.333,3.9681640590378,-0.14292605999638,0.106651361077452,0.198242157019321,0.394249052715919,1.982,0.58,1,0.0260031295318842,0.0610098322784119,-0.0205134558997934,-0.10843357655409,0.124418809506247,0.260670311157092,-0.134174774446401,0.293175512648102,2.3333498058012
"12",0.366,3.97275471103883,-0.139694169614192,0.107162853346275,0.198517800555303,0.359532479158823,1.982,0.58,1,0.0280471092940402,0.0683938329799274,-0.0242035005235124,-0.113284546436499,0.132329531288407,0.264566448108523,-0.132820965295606,0.296035157180387,2.48170744728165
"13",0.4,3.97738592561442,-0.136336574703094,0.107660775771983,0.198787028348998,0.324489916503616,1.982,0.58,1,0.0303832717105872,0.0762305772900326,-0.0281792875580567,-0.118186094816178,0.140638024452387,0.268501098027394,-0.131510939560937,0.298978204667358,2.63752489150579
"14",0.433,3.98178449555176,-0.133049384702636,0.108228807744185,0.199095240590346,0.291281630917094,1.982,0.58,1,0.0328835277694096,0.0840470826561147,-0.0322019591083031,-0.122854849682829,0.148853035553845,0.272260899577839,-0.130326162690332,0.301845831709701,2.79158917354089
"15",0.466,3.98608719246503,-0.129732957596987,0.10878105637351,0.199395983474434,0.258957613847892,1.982,0.58,1,0.0356213462472832,0.0920600326421196,-0.0363812681165058,-0.12744131944815,0.157214310775939,0.275981800834749,-0.129231621981188,0.304740490437158,2.94839649225055
