expname,fuel,p,do,fiber,O2,He,CO2,N2,H2O,Hep,Methanol,Xe,D,tdelay,tofc
20CAL08,Methanol,0.996,1.8,No,0.21,0,0,0.79,0,0,0,0,0,0,0
20CAL10,Methanol,1.002,2,No,0.21,0,0,0.79,0,0,0,0,0,0,0
20CAL12,Methanol,1.005,1.71,No,0.21,0,0,0.79,0,0,0,0,0,0,0
30CAL02,Methanol,1.002,2.19,No,0.21,0,0,0.79,0,0,0,0,0,0,0
30CAL03,Methanol,1.002,1.95,No,0.21,0,0,0.79,0,0,0,0,0,0,0
40CAL01,Methanol,1.002,2.9,No,0.21,0,0,0.79,0,0,0,0,0,0,0
20CAL13,Heptane,1.001,1.91,No,0.21,0,0,0.79,0,0,0,0,0,0,0
30CAL06,Heptane,1.003,2.89,No,0.21,0,0,0.79,0,0,0,0,0,0,0
30CAL07,Heptane,1,3,No,0.21,0,0,0.79,0,0,0,0,0,0,0
256F002,Methanol,3.049,3.88,No,0.21,0,0.7,0.09,0,0,0,0,0,0,0
256R001,Methanol,3.05,3.02,No,0.21,0,0.7,0.09,0,0,0,0,0,0,0
264F003,Heptane,3.053,3.09,No,0.21,0,0.7,0.09,0,0,0,0,0,0,0
256R002,Methanol,2.728,2.72,No,0.21,0,0.7,0.09,0,0,0,0,0,0,0
256F007,Methanol,2.703,3.71,No,0.21,0,0.7,0.09,0,0,0,0,0,0,0
256F008,Methanol,2.716,4.43,No,0.21,0,0.7,0.09,0,0,0,0,0,0,0
256F009,Methanol,2.726,1.8,No,0.21,0,0.7,0.09,0,0,0,0,0,0,0
240R003,Methanol,2.033,2.81,No,0.21,0,0.7,0.09,0,0,0,0,0,0,0
248F001,Heptane,2.043,2.92,No,0.21,0,0.7,0.09,0,0,0,0,0,0,0
196F001,Heptane,0.709,3.43,No,0.33415,0,0.00092,0.66274,0,0,0,0,0,0,0
192F001,Methanol,0.71,3.46,No,0.33539,0,0.00029,0.6633,0.00058,0,0.00044,0,0,0,0
192F002,Methanol,0.711,3.49,No,0.33501,0,0.00047,0.66308,0.00094,0,0.0005,0,0,0,0
192F003,Methanol,0.711,3.55,No,0.33461,0,0.00066,0.66285,0.00132,0,0.00056,0,0,0,0
196F002,Heptane,0.713,3.18,No,0.33415,0,0.00092,0.66274,0.00161,0.00001,0.00056,0,0,0,0
196F003,Heptane,0.713,4,No,0.33324,0,0.00145,0.66258,0.00222,0,0.00056,0,0,0,0
191R001,Methanol,0.707,2.65,No,0.29593,0,0.00106,0.7001,0.00167,0,0.00126,0,0,0,0
191F001,Methanol,0.708,3.7,No,0.29549,0,0.00128,0.69983,0.0021,0,0.00133,0,0,0,0
195F001,Heptane,0.711,4,No,0.29458,0,0.00181,0.69963,0.0027,0,0.00133,0,0,0,0
195F002,Heptane,0.71,3.46,No,0.29399,0,0.00214,0.69949,0.00309,0,0.00133,0,0,0,0
178R001,Methanol,1.009,2.65,No,0.29578,0,0.00156,0.69938,0.00228,0,0.00103,0,0,0,0
178F001,Methanol,1.011,3.32,No,0.29556,0,0.00166,0.69923,0.00248,0,0.0011,0,0,0,0
182F001,Heptane,1.013,3.51,No,0.29492,0,0.00199,0.69892,0.00293,0.00014,0.00109,0,0,0,0
182F002,Heptane,1.014,3.08,No,0.29465,0,0.00215,0.69885,0.0031,0.00015,0.00109,0,0,0,0
177R002,Methanol,1.006,2.72,No,0.20579,0,0.00155,0.78923,0.00228,0.00011,0.00104,0,0,0,0
177F001,Methanol,1.009,3.95,No,0.20545,0,0.00172,0.78888,0.00261,0.00011,0.00124,0,0,0,0
181F001,Heptane,1.01,3.91,No,0.20518,0,0.00186,0.78871,0.00277,0.00024,0.00124,0,0,0,0
190R002,Methanol,0.709,2.45,No,0.19517,0,0.00181,0.79839,0.00272,0.00023,0.00167,0,0,0,0
